,go_trial_count,catch_trial_count,hit_trial_count,miss_trial_count,false_alarm_trial_count,correct_reject_trial_count,TPR,FPR,bayes_TPR,bayes_FPR
,sum,sum,sum,sum,sum,sum,,,,
mouse_id,,,,,,,,,,
403491,552,83,262,290,29,54,0.4746376811594203,0.3493975903614458,0.4763790908680137,0.20965267724462266
412036,264,36,133,131,7,29,0.5037878787878788,0.19444444444444445,0.49432334053903476,0.12750023556524853
412366,269,37,147,122,26,11,0.5464684014869888,0.7027027027027027,0.5192866202588493,0.2542880592279256
423606,1591,232,557,1034,29,203,0.3500942803268385,0.125,0.36428337081959483,0.11880447548674354
425493,392,55,290,102,12,43,0.7397959183673469,0.21818181818181817,0.6545908250247341,0.14294811938582128
429952,1356,193,21,1335,1,192,0.015486725663716814,0.0051813471502590676,0.073484404681138,0.04215515441942232
431023,1101,158,478,623,37,121,0.43415077202543145,0.23417721518987342,0.4411869123627884,0.18102966095505893
431252,717,102,212,505,12,90,0.29567642956764295,0.11764705882352941,0.3350286614247312,0.11153110348687761
435431,629,89,66,563,8,81,0.10492845786963434,0.0898876404494382,0.1932477626252146,0.09883465133342825
436662,484,69,209,275,8,61,0.4318181818181818,0.11594202898550725,0.445933159624199,0.10976460228226162
438912,499,71,156,343,6,65,0.312625250501002,0.08450704225352113,0.3596541486730853,0.09762614700862667
440298,576,80,351,225,32,48,0.609375,0.4,0.5772707723886882,0.22856817532627685
442709,457,67,307,150,17,50,0.6717724288840262,0.2537313432835821,0.6152743168724767,0.16131324891624818
445270,1479,214,435,1044,34,180,0.29411764705882354,0.1588785046728972,0.31571320720181595,0.1407116650350219
447663,1529,221,647,882,55,166,0.42315238718116416,0.248868778280543,0.42967114902608733,0.2008437234398259
448366,814,116,247,567,13,103,0.3034398034398034,0.11206896551724138,0.3375139474003404,0.10906705749455861
448900,1389,196,315,1074,12,184,0.2267818574514039,0.061224489795918366,0.2578139651436182,0.07747592006773016
449441,1055,152,387,668,19,133,0.36682464454976305,0.125,0.3845234818172933,0.11692598391122497
449653,341,51,148,193,6,45,0.4340175953079179,0.11764705882352941,0.45111931743728095,0.10961577204755739
450471,1926,272,770,1156,64,208,0.39979231568016615,0.23529411764705882,0.40721544784311103,0.19760541024828834
451787,874,125,277,597,7,118,0.3169336384439359,0.056,0.34665252860008855,0.07959028831759549
453913,1423,204,1029,394,58,146,0.7231201686577653,0.28431372549019607,0.6942716752520762,0.22115185110009958
453988,983,140,308,675,15,125,0.3133265513733469,0.10714285714285714,0.34088194954324824,0.10661477707894633
453989,1461,208,253,1208,7,201,0.1731690622861054,0.03365384615384615,0.2091007346407616,0.05893694333277789
453990,1499,219,333,1166,23,196,0.22214809873248834,0.1050228310502283,0.25169063343259096,0.10533756366688726
453991,1292,187,236,1056,5,182,0.1826625386996904,0.026737967914438502,0.22145112229189104,0.05638609330758982
456564,556,79,127,429,8,71,0.22841726618705036,0.10126582278481013,0.2935492018102559,0.10401327912041745
456915,1664,234,500,1164,23,211,0.3004807692307692,0.09829059829059829,0.3192639440629828,0.10076893943407671
456916,411,59,229,182,10,49,0.5571776155717761,0.1694915254237288,0.5329684903814176,0.12789528484852877
456917,628,91,129,499,2,89,0.2054140127388535,0.02197802197802198,0.2702363066668962,0.0682818416577945
457766,2508,368,195,2313,20,348,0.07775119617224881,0.05434782608695652,0.10656553408148804,0.06637693772363432
457841,893,129,224,669,12,117,0.25083986562150057,0.09302325581395349,0.29177534216877044,0.09902818982146702
459773,697,102,444,253,17,85,0.6370157819225251,0.16666666666666666,0.6032877216320978,0.13491186392143345
459777,595,87,236,359,4,83,0.39663865546218485,0.04597701149425287,0.41737490762118445,0.0797131489057355
462468,510,74,284,226,11,63,0.5568627450980392,0.14864864864864866,0.5361501580333803,0.12295353548316187
462544,726,105,147,579,16,89,0.2024793388429752,0.1523809523809524,0.26100357698008836,0.1284339813448344
464204,594,87,391,203,20,67,0.6582491582491582,0.22988505747126436,0.6149024608276334,0.160175387252775
464207,798,113,153,645,16,97,0.19172932330827067,0.1415929203539823,0.24809271573382724,0.12386441458615065
467302,1100,160,346,754,24,136,0.3145454545454546,0.15,0.33942529096133933,0.13187752534028555
467951,384,52,197,187,11,41,0.5130208333333334,0.21153846153846154,0.502438958371228,0.1394622969452686
467953,556,77,161,395,9,68,0.289568345323741,0.11688311688311688,0.33895435708143035,0.11040999549770529
470784,598,86,23,575,0,86,0.038461538461538464,0.0,0.14644872291782063,0.059898813858813925
472271,521,74,235,286,9,65,0.4510556621880998,0.12162162162162163,0.4592426180631153,0.11219222917007184
476067,1363,195,297,1066,13,182,0.21790168745414526,0.06666666666666667,0.25055291757931,0.08098731735774391
476631,823,118,99,724,8,110,0.12029161603888214,0.06779661016949153,0.18882759564487483,0.08636481498219771
476970,844,121,90,754,11,110,0.1066350710900474,0.09090909090909091,0.17632257169808974,0.09813588339696247
477052,467,68,284,183,9,59,0.6081370449678801,0.1323529411764706,0.5710910187323527,0.11593506749117576
477202,756,110,57,699,7,103,0.07539682539682539,0.06363636363636363,0.15789575658026908,0.08497162125966876
479426,604,86,368,236,19,67,0.609271523178808,0.22093023255813954,0.5783204762613731,0.1559306554538813
479458,897,128,196,701,18,110,0.21850613154960982,0.140625,0.26501195799145816,0.124456589544239
479839,463,63,197,266,8,55,0.42548596112311016,0.12698412698412698,0.4419146344652775,0.11353116611402089
481295,761,111,356,405,13,98,0.46780551905387646,0.11711711711711711,0.47054647356639834,0.11151414179204017
482853,513,77,157,356,11,66,0.3060428849902534,0.14285714285714285,0.3539371182821393,0.12100035269416118
484408,894,127,486,408,10,117,0.5436241610738255,0.07874015748031496,0.5325785607420245,0.0914839748188526
484627,477,68,258,219,16,52,0.5408805031446541,0.23529411764705882,0.5237481342796808,0.15485616514879694
484631,510,74,253,257,4,70,0.49607843137254903,0.05405405405405406,0.4920417374782723,0.08528896338734675
485152,450,64,62,388,12,52,0.13777777777777778,0.1875,0.24083752609651005,0.13563208045816694
485688,485,71,392,93,23,48,0.8082474226804124,0.323943661971831,0.7152609713637296,0.19059799852894996
485689,436,65,203,233,6,59,0.46559633027522934,0.09230769230769231,0.4704313423330977,0.10093829531622232
486737,1097,164,308,789,24,140,0.28076572470373745,0.14634146341463414,0.31075314583629465,0.12996522478837053
489056,520,75,335,185,29,46,0.6442307692307693,0.38666666666666666,0.6001760061446505,0.21862892588081953
