,go_trial_count,catch_trial_count,hit_trial_count,miss_trial_count,false_alarm_trial_count,correct_reject_trial_count,TPR,FPR,bayes_TPR,bayes_FPR
,sum,sum,sum,sum,sum,sum,,,,
mouse_id,,,,,,,,,,
403491,1504,216,450,1054,33,183,0.2992021276595745,0.1527777777777778,0.3240938898751,0.13652102897473073
412036,411,57,217,194,11,46,0.5279805352798054,0.19298245614035087,0.5248004726252417,0.13478374351629827
412366,294,44,147,147,15,29,0.5,0.3409090909090909,0.5071461510798703,0.17171737103816126
423606,1704,247,625,1079,22,225,0.36678403755868544,0.08906882591093117,0.3821745180479738,0.09406135174169838
425493,879,128,605,274,17,111,0.6882821387940842,0.1328125,0.6576252736221507,0.11989433362806123
429952,1422,201,1,1421,1,200,0.0007032348804500703,0.004975124378109453,0.06253718601325288,0.04074879890929649
431023,830,122,239,591,9,113,0.28795180722891567,0.07377049180327869,0.33136563720848405,0.08874642878487422
431252,756,109,253,503,15,94,0.33465608465608465,0.13761467889908258,0.3719551740914594,0.12115367664348746
435431,1551,225,159,1392,8,217,0.10251450676982592,0.035555555555555556,0.1485058456896538,0.05863190863250831
436662,665,97,233,432,18,79,0.35037593984962406,0.18556701030927836,0.388094206684652,0.14249007626052757
438912,536,78,186,350,7,71,0.34701492537313433,0.08974358974358974,0.3922972085588702,0.09878544698677069
440298,459,63,291,168,6,57,0.6339869281045751,0.09523809523809523,0.5996572995403642,0.10154251944964499
442709,393,55,293,100,13,42,0.7455470737913485,0.23636363636363636,0.6706037303634764,0.14839483779745336
445270,1658,234,301,1357,20,214,0.18154402895054284,0.08547008547008547,0.2166350792545257,0.09181343836527688
447663,575,81,191,384,4,77,0.33217391304347826,0.04938271604938271,0.3788869651666327,0.0816831902706015
448366,149,22,131,18,10,12,0.8791946308724832,0.45454545454545453,0.6753614035520227,0.16257887969484114
448900,1220,175,163,1057,7,168,0.13360655737704918,0.04,0.18612365491619326,0.06536821640654203
449441,779,110,226,553,13,97,0.2901155327342747,0.11818181818181818,0.33537745889046133,0.11158789695440248
449653,372,56,183,189,18,38,0.49193548387096775,0.32142857142857145,0.5008503038611875,0.17731752296020584
450471,422,60,271,151,5,55,0.6421800947867299,0.08333333333333333,0.6032136915128241,0.09749362874652129
451787,1101,158,436,665,11,147,0.3960036330608538,0.06962025316455696,0.41420696181117456,0.08431677807012772
453913,886,128,666,220,24,104,0.7516930022573364,0.1875,0.7098908714109122,0.14909215194371797
453988,279,42,150,129,14,28,0.5376344086021505,0.3333333333333333,0.5296171550439838,0.16744685957426445
453989,998,144,69,929,0,144,0.06913827655310621,0.0,0.1418929079626775,0.04592069677813736
453990,372,51,127,245,7,44,0.34139784946236557,0.13725490196078433,0.40174211652469805,0.11517442632443319
453991,279,41,86,193,4,37,0.30824372759856633,0.0975609756097561,0.3940351633527239,0.1030740723742197
456564,2402,341,277,2125,12,329,0.11532056619483763,0.03519061583577713,0.1452771950255209,0.05244452288444177
456915,407,58,217,190,10,48,0.5331695331695332,0.1724137931034483,0.528298914518322,0.12809847543505928
456916,386,51,241,145,10,41,0.6243523316062176,0.19607843137254902,0.588906700419612,0.13360829244267416
456917,600,86,174,426,5,81,0.29,0.05813953488372093,0.34550629773467734,0.08467485741798852
457766,309,45,205,104,10,35,0.6634304207119741,0.2222222222222222,0.6075224140472794,0.13872268318132974
457841,424,59,147,277,8,51,0.3466981132075472,0.13559322033898305,0.40029878809788216,0.11563479164950634
459773,410,58,353,57,8,50,0.8609756097560975,0.13793103448275862,0.7511950840200693,0.11631602240039793
459777,956,139,247,709,7,132,0.2583682008368201,0.050359712230215826,0.30199146658425047,0.07475331178075868
462468,930,134,572,358,19,115,0.6150537634408603,0.1417910447761194,0.5983763217933591,0.1251055872551494
462544,1943,277,44,1899,4,273,0.022645393721049924,0.01444043321299639,0.06741449660887297,0.04049951214967003
464204,1266,181,961,305,50,131,0.759083728278041,0.27624309392265195,0.7271909348801427,0.2109144938581706
464207,608,87,289,319,21,66,0.4753289473684211,0.2413793103448276,0.4856192472734174,0.16475440675752356
467302,251,37,158,93,9,28,0.6294820717131474,0.24324324324324326,0.5810299266831073,0.13946073990828814
467951,838,117,420,418,18,99,0.5011933174224343,0.15384615384615385,0.5043455723093779,0.13003159746439208
467953,927,131,121,806,4,127,0.13052858683926646,0.030534351145038167,0.19731454191341047,0.06485822024287234
470784,441,64,215,226,22,42,0.4875283446712018,0.34375,0.4968147940540919,0.19200627875756418
472271,516,70,294,222,8,62,0.5697674418604651,0.11428571428571428,0.5556816337321897,0.10863602894677313
476067,798,118,254,544,8,110,0.3182957393483709,0.06779661016949153,0.3572008445629611,0.08593889320813061
476631,625,88,122,503,16,72,0.1952,0.18181818181818182,0.27138067443283803,0.1388975301539948
476970,821,118,92,729,15,103,0.1120584652862363,0.1271186440677966,0.18934181321327306,0.11640759676785958
477052,608,87,350,258,21,66,0.5756578947368421,0.2413793103448276,0.5617703374628221,0.16475440675752356
477202,860,123,83,777,15,108,0.09651162790697675,0.12195121951219512,0.17378272251244178,0.11392813772817967
479426,660,96,497,163,16,80,0.753030303030303,0.16666666666666666,0.6998506948704338,0.13354873277549334
479458,398,54,66,332,7,47,0.1658291457286432,0.12962962962962962,0.2808612877958881,0.11308974510384295
479839,714,103,340,374,11,92,0.47619047619047616,0.10679611650485436,0.48509485949769493,0.10591190571671875
481295,870,123,374,496,9,114,0.4298850574712644,0.07317073170731707,0.4458914111321466,0.0883683724703387
482853,979,140,304,675,35,105,0.3105209397344229,0.25,0.3446984007546256,0.1856804971475092
484408,596,86,254,342,4,82,0.4261744966442953,0.046511627906976744,0.44864697378718277,0.07961781243134758
484627,580,84,219,361,7,77,0.3775862068965517,0.08333333333333333,0.41265701057115345,0.09575744682406073
484631,488,69,276,212,7,62,0.5655737704918032,0.10144927536231885,0.552097530718476,0.10370438934956977
485152,591,84,36,555,7,77,0.06091370558375635,0.08333333333333333,0.17346073902039205,0.09575744682406073
485688,342,51,284,58,17,34,0.8304093567251462,0.3333333333333333,0.7177045697451544,0.17662064671856978
485689,466,68,169,297,6,62,0.3626609442060086,0.08823529411764706,0.4081700221071287,0.0987178756954223
489056,594,81,320,274,17,64,0.5387205387205387,0.20987654320987653,0.5336456667161311,0.14913018759535956
489065,440,67,302,138,11,56,0.6863636363636364,0.16417910447761194,0.6350318744115826,0.1272431385828794
